dailyid,year,month,day,dayofweek,hour,minute,latitude,longitude,os,home_countryname,plmn,plmn_countryname,setting_currency,setting_language,setting_country,logtype_category,logtype_subcategory,accuracy,speed,estimated_speed_flag,course,estimated_course_flag,prefcode,citycode,mesh100mid,home_prefcode,home_citycode,workplace_prefcode,workplace_citycode,transportation_type
30d07726f5cd7ee92d9a3cc6aa2b76f355db027f17ff3ddaee7b0ced6c88a2ff8b0ab88e4412ec6466311f38069f7de8,2019,10,1,2,0,0,35.698456,139.756939,iOS,Japan,44020,Japan,,ja,,,,10,,,106.648,2,13,13101,5339463085,13,13224,13,13108,
84ed05067603f56136ce7c331df2b21d387ea513a523aa60cfc7e891089da37d2f65d917bffa34a83acc017b1ca89c24,2019,10,1,2,0,0,35.908248,139.771387,Android,Japan,44010,Japan,,ja,,,,14.854,,,68.498,2,11,11222,5339668197,11,11222,12,12106,
fbf59035e5b1461d4eb119fc3e10c018993c8b316645ddd94ef73626a70d909d8cd6d58858ba03518b7a3bda1cbd37b2,2019,10,1,2,0,0,35.776994,139.772396,Android,Japan,44020,Japan,,ja,,,,500,,,,,13,13121,5339563127,13,13121,13,13115,
724e51e56812de2197ab215e23d8cdb430f4a9b832f270320ab6fa8a5f5dbee9e858622377940ff5d7eedc54faf12ff6,2019,10,1,2,0,0,35.678605,139.548276,Android,Japan,44010,Japan,,ja,,,,15.236,,,310.446,2,13,13208,5339441348,13,13208,13,13102,
84449e4d0252180e60c75c74f7bedb908ee842cd66fb093313caac802c61646967bf9c5729c91540946b91eb9959f3ca,2019,10,1,2,0,0,35.652463,139.553644,Android,Japan,44020,Japan,,ja,,,,5.36,,,,,13,13208,5339348422,13,13208,13,13204,
771c7f0caca87ee657678554ce7c930e1f0a600bea02c1cfbd17d624f60e1e48f3e61f4c558eb2adcf149438b4cf5cd9,2019,10,1,2,0,0,35.645878,139.922704,Android,Japan,44010,Japan,,ja,,,,100,,,,,12,12227,5339377358,12,12227,13,13108,
83b65ee34139e94b7af02e5c7980709c3ef9e426f0cd6f0202e19666e23c5b29097b87c6881b446bc9694498c1f7a0e0,2019,10,1,2,0,0,35.777268,139.640845,Android,Japan,44020,Japan,,ja,,,,18.231,,,190.469,2,13,13119,5339553122,13,13119,13,13101,
68f3e31b92df9ab273077813ff9a51a84c0978daa4cec2f50bfc842140b0ab3b957bf51cb040c3ccce4258de2f8ec360,2019,10,1,2,0,0,35.726042,139.697627,Android,Japan,44051,Japan,,ja,,,,14.632,,,,,13,13116,5339457518,13,13116,13,13108,
cca29760f4a2952148f29c5f049a36a29c37c6ff3ed9bab3fb782ed82b5d578b5580e25eb49d74fc222a3fac729c4f45,2019,10,1,2,0,0,35.482845,139.561915,Android,Japan,44010,Japan,,ja,,,,165.095,,,,,14,14112,5339147499,14,14112,13,13108,
6ed9b37e2ff3653fe4ecc9745cb99142783349c2c21f897046749057cd91275efd7c1050dccaf421d2931daaacb5bb61,2019,10,1,2,0,0,35.658566,139.795908,Android,Japan,44010,Japan,,ja,,,,14.141,,,,,13,13108,5339369306,13,13108,13,13103,
